# McoresScanner - OVERWORLD
# Chunks scanned: 87500
# Total blocks: 1805651968
# Format: block_id,count,percentage

minecraft:light_blue_glazed_terracotta,11,0.000001%
minecraft:crafting_table,11,0.000001%
minecraft:yellow_terracotta,11,0.000001%
minecraft:magenta_bed,10,0.000001%
minecraft:stone_brick_slab,10,0.000001%
minecraft:brown_bed,10,0.000001%
minecraft:light_gray_terracotta,9,0.000000%
minecraft:brick_wall,9,0.000000%
minecraft:stone_slab,9,0.000000%
minecraft:polished_deepslate,9,0.000000%
minecraft:cyan_bed,8,0.000000%
minecraft:jungle_fence,8,0.000000%
minecraft:white_wall_banner,8,0.000000%
minecraft:pink_bed,8,0.000000%
minecraft:polished_andesite,8,0.000000%
minecraft:lime_bed,6,0.000000%
minecraft:dark_oak_door,6,0.000000%
minecraft:brick_slab,6,0.000000%
minecraft:yellow_wool,5,0.000000%
minecraft:white_wool,4,0.000000%
minecraft:mud_brick_stairs,4,0.000000%
minecraft:light_blue_bed,4,0.000000%
minecraft:mud_brick_slab,4,0.000000%
minecraft:red_bed,4,0.000000%
minecraft:loom,3,0.000000%
minecraft:white_carpet,3,0.000000%
minecraft:cobblestone_slab,3,0.000000%
minecraft:oxidized_copper_trapdoor,3,0.000000%
minecraft:purple_carpet,3,0.000000%
minecraft:gray_bed,2,0.000000%
minecraft:hay_block,2,0.000000%
minecraft:mossy_cobblestone_stairs,2,0.000000%
minecraft:orange_bed,2,0.000000%
minecraft:yellow_bed,2,0.000000%
minecraft:carved_pumpkin,2,0.000000%
minecraft:bell,2,0.000000%
minecraft:oak_door,2,0.000000%
minecraft:spruce_pressure_plate,2,0.000000%
minecraft:light_gray_bed,2,0.000000%
minecraft:campfire,1,0.000000%
minecraft:smooth_stone_slab,1,0.000000%
minecraft:soul_lantern,1,0.000000%
minecraft:brown_stained_glass,1,0.000000%
minecraft:furnace,1,0.000000%
minecraft:smithing_table,1,0.000000%
minecraft:grindstone,1,0.000000%
minecraft:cyan_glazed_terracotta,1,0.000000%
minecraft:cauldron,1,0.000000%
minecraft:blast_furnace,1,0.000000%
minecraft:mossy_cobblestone_slab,1,0.000000%
